antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'normal_flow'}),frozenset({'partially_clogged'}),0.18,0.44,0.16,0.888888888888889,2.0202020202020203,1.0,0.08080000000000001,5.040000000000004,0.6158536585365854,0.3478260869565218,0.8015873015873016,0.6262626262626263
frozenset({'slow_flow'}),frozenset({'partially_clogged'}),0.24,0.44,0.2,0.8333333333333334,1.893939393939394,1.0,0.09440000000000001,3.360000000000001,0.6210526315789473,0.41666666666666674,0.7023809523809523,0.643939393939394
frozenset({'backflow'}),frozenset({'clogged'}),0.28,0.55,0.28,1.0,1.8181818181818181,1.0,0.126,inf,0.625,0.5090909090909091,1.0,0.7545454545454546
frozenset({'stagnant_flow'}),frozenset({'clogged'}),0.17,0.55,0.17,1.0,1.8181818181818181,1.0,0.0765,inf,0.5421686746987951,0.3090909090909091,1.0,0.6545454545454545
frozenset({'heavy_trash'}),frozenset({'clogged'}),0.15,0.55,0.15,1.0,1.8181818181818181,1.0,0.06749999999999999,inf,0.5294117647058822,0.2727272727272727,1.0,0.6363636363636364
"frozenset({'backflow', 'clear_water'})",frozenset({'clogged'}),0.11,0.55,0.11,1.0,1.8181818181818181,1.0,0.049499999999999995,inf,0.5056179775280898,0.19999999999999998,1.0,0.6
frozenset({'plastic_trash'}),frozenset({'clogged'}),0.21,0.55,0.15,0.7142857142857143,1.2987012987012987,1.0,0.03449999999999999,1.575,0.29113924050632906,0.2459016393442623,0.36507936507936506,0.4935064935064935
